State,urban_perc_state,County,percentage20_Donald_Trump,percentage20_Joe_Biden,avg_sal_2022,white_perc,baa_perc,asian_perc,native_perc,pi_perc,his_perc,AQI,CO_perc,NO2_perc,O3_perc,PM2.5_perc,PM10_perc
Iowa,0.632,Montgomery,0.688,0.298,50343.0,0.9800097991180794,0.0143067123958843,0.006467417932386,0.0129348358647721,0.0018618324350808,0.043312101910828,38,0.0,0.0,0.7119205298013245,0.2880794701986754,0.0
Iowa,0.632,Muscatine,0.525,0.454,54297.0,0.9455836892654034,0.0401396984213134,0.0140406352502536,0.0149137503834627,0.0029261155815654,0.1905514783962998,31,0.0,0.0,0.0,0.9967105263157896,0.0032894736842105
Iowa,0.632,Palo Alto,0.681,0.307,65080.0,0.9615472387037882,0.0236193518941122,0.0191693290734824,0.0165449566408032,0.0063897763578274,0.0368553172067549,38,0.0,0.0,0.631578947368421,0.3684210526315789,0.0
Iowa,0.632,Polk,0.414,0.567,62653.0,0.8637128334487486,0.0943465132940455,0.0602707303492992,0.0089864275607726,0.0015486270901975,0.0937837390164222,39,0.0,0.0361842105263157,0.6611842105263158,0.2960526315789473,0.006578947368421
Iowa,0.632,Pottawattamie,0.574,0.406,52369.0,0.9576594077683448,0.0312214912045335,0.0158736973157459,0.0160776190527298,0.0021250791538321,0.0921189615017226,28,0.0,0.0,0.0,0.8777777777777778,0.1222222222222222
Iowa,0.632,Scott,0.471,0.506,63064.0,0.8797463259814632,0.1057875853821209,0.037884363285113,0.0122984751960626,0.0020986177870794,0.0749982751086681,41,0.0032786885245901,0.0,0.5180327868852459,0.2918032786885245,0.1868852459016393
Iowa,0.632,Van Buren,0.755,0.231,47996.0,0.98787210584344,0.0095093715545755,0.0089581036383682,0.0064773980154355,0.000689084895259,0.0180540242557883,39,0.0,0.0032894736842105,0.6151315789473685,0.3815789473684211,0.0
Iowa,0.632,Woodbury,0.57,0.414,51029.0,0.8739862403119115,0.0718550974250267,0.0358944270424241,0.0433420711453473,0.0095390409857009,0.19150003312167,28,0.0,0.0,0.0,1.0,0.0
Kansas,0.723,Ford,0.651,0.331,47179.0,0.930660600330891,0.0369593476719451,0.0177263058378633,0.0274757740486882,0.0036929803828882,0.5797388324273222,18,0.0,0.0,0.0,0.0,1.0
Kansas,0.723,Johnson,0.45,0.529,90503.0,0.8868514765138608,0.0656497549237316,0.0647033648527523,0.0112678558450891,0.0013582151018661,0.0849086313681473,40,0.0,0.0,0.56353591160221,0.43646408839779,0.0
Kansas,0.723,Leavenworth,0.592,0.381,50002.0,0.8841866525117019,0.1029773681416783,0.0264440476764947,0.0218356415576895,0.004439511653718,0.0777155817207933,38,0.0,0.0,1.0,0.0,0.0
Kansas,0.723,Neosho,0.723,0.261,45486.0,0.9587338203255158,0.0259515570934256,0.0135845187748301,0.0287069075996411,0.0027553505062155,0.0655517108804306,43,0.0,0.0,0.5193370165745856,0.4640883977900552,0.0165745856353591
Kansas,0.723,Sedgwick,0.551,0.425,59772.0,0.8443594500737358,0.1156443556443556,0.055346558203701,0.0275990675990676,0.0023367109081394,0.1608638980067551,44,0.0,0.0,0.6574585635359116,0.3204419889502762,0.0220994475138121
Kansas,0.723,Shawnee,0.475,0.5,55466.0,0.8801386071670048,0.1147622267297723,0.0228363759296822,0.0318289384719405,0.0033412215460897,0.1366463826910074,44,0.0,0.0,0.6298342541436464,0.3701657458563536,0.0
