County,2020,2021,2022
Hancock,"40,802","44,878","44,384"
Harrison,"41,786","46,316","46,211"
Hinds,"44,309","47,035","46,854"
Holmes,"33,075","37,402","33,929"
Humphreys,"39,209","44,369","39,467"
Issaquena,"30,808","36,224","24,489"
Itawamba,"38,779","41,844","41,069"
Jackson,"41,475","45,875","45,912"
Jasper,"41,472","45,041","47,150"
Jefferson,"36,308","39,172","37,639"
Jefferson Davis,"33,080","36,527","36,150"
Jones,"40,962","44,633","46,073"
Kemper,"35,442","38,474","37,006"
Lafayette,"45,888","49,225","49,498"
Lamar,"43,774","48,053","48,473"
Lauderdale,"44,162","47,129","47,116"
Lawrence,"38,254","43,032","44,184"
Leake,"34,832","40,301","41,790"
Lee,"47,155","52,406","52,044"
Leflore,"42,307","50,036","46,712"
Lincoln,"41,303","44,397","44,609"
Lowndes,"43,591","47,941","48,254"
Madison,"69,053","76,927","79,410"
Marion,"39,296","41,250","41,528"
Marshall,"41,023","44,391","42,663"
Monroe,"40,697","44,289","43,389"
Montgomery,"38,396","42,267","41,475"
Neshoba,"40,155","44,273","45,615"
Newton,"36,842","41,248","40,283"
Noxubee,"37,733","45,202","40,442"
Oktibbeha,"36,752","39,418","39,127"
Panola,"38,738","42,386","40,423"
Pearl River,"40,812","43,326","43,108"
Perry,"35,650","37,591","36,322"
Pike,"34,165","37,710","36,311"
Pontotoc,"38,578","42,520","41,472"
Prentiss,"35,645","38,465","37,543"
Quitman,"35,671","42,673","38,209"
Rankin,"48,414","52,636","53,715"
Scott,"33,274","38,040","38,488"
Sharkey,"43,291","53,238","46,097"
Simpson,"40,720","44,942","45,331"
Smith,"40,289","45,239","47,234"
Stone,"37,256","39,762","39,362"
Sunflower,"33,719","37,991","34,856"
Tallahatchie,"35,935","43,085","38,454"
Tate,"40,853","44,775","43,334"
Tippah,"42,488","44,547","42,820"
Tishomingo,"39,063","41,836","42,280"
Tunica,"37,682","43,065","39,641"
Union,"38,025","41,401","40,800"
Walthall,"34,888","38,578","37,585"
Warren,"45,251","48,589","48,089"
Washington,"41,199","45,649","43,492"
Wayne,"38,064","42,700","44,185"
Webster,"41,776","44,969","43,764"
Wilkinson,"34,228","36,909","35,523"
Winston,"39,149","43,450","43,763"
Yalobusha,"40,318","42,942","41,940"
Yazoo,"33,969","37,590","34,998"
,,,
Missouri,"52,095","56,073","57,818"
Adair,"35,518","36,919","36,808"
Andrew,"47,008","50,506","51,102"
Atchison,"49,495","53,650","55,136"
Audrain,"40,405","43,626","44,123"
Barry,"38,451","41,410","43,879"
Barton,"40,790","42,419","43,872"
Bates,"45,525","47,311","47,420"
Benton,"41,664","43,115","43,787"
Bollinger,"42,750","44,894","45,696"
Boone,"50,869","54,260","55,395"
Buchanan,"43,656","46,613","47,415"
Butler,"40,525","42,945","43,455"
Caldwell,"42,857","45,115","45,520"
Callaway,"43,232","45,214","45,695"
Camden,"46,029","54,076","49,961"
Cape Girardeau,"46,142","48,394","49,636"
Carroll,"50,623","56,435","58,797"
Carter,"42,804","44,908","46,372"
Cass,"51,424","54,169","55,712"
Cedar,"34,477","36,272","36,483"
Chariton,"47,478","51,535","51,137"
Christian,"45,626","48,494","49,503"
Clark,"41,567","43,654","44,235"
Clay,"52,111","55,214","55,738"
Clinton,"45,629","47,489","48,009"
Cole,"52,041","54,913","56,258"
Cooper,"45,369","49,543","50,054"
Crawford,"39,853","43,306","43,825"
Dade,"37,978","41,182","42,280"
Dallas,"36,350","38,682","39,460"
Daviess,"36,388","37,792","36,926"
DeKalb,"34,573","35,685","37,167"
Dent,"39,617","41,410","41,129"
Douglas,"35,575","37,601","36,760"
Dunklin,"38,660","43,551","43,916"
Franklin,"49,320","52,066","53,957"
Gasconade,"43,786","46,030","46,910"
Gentry,"48,483","50,472","49,023"
Greene,"47,751","50,365","51,938"
Grundy,"38,384","40,924","40,595"
Harrison,"41,281","43,645","43,446"
Henry,"45,220","48,358","48,899"
Hickory,"36,842","38,960","39,084"
Holt,"56,520","57,862","60,269"
Howard,"43,993","47,819","47,809"
Howell,"38,338","40,430","40,595"
Iron,"38,255","40,962","41,712"
Jackson,"49,572","52,436","53,153"
Jasper,"40,826","43,402","44,028"
Jefferson,"46,606","49,802","51,143"
Johnson,"40,193","46,616","43,156"
Knox,"41,397","43,668","43,232"
Laclede,"39,132","42,233","43,659"
Lafayette,"45,937","49,577","50,109"
Lawrence,"37,046","39,561","40,360"
Lewis,"37,876","41,052","41,383"
Lincoln,"44,878","48,179","49,802"
Linn,"43,084","45,104","45,212"
Livingston,"45,595","47,636","47,712"
McDonald,"31,987","34,982","37,419"
Macon,"44,504","47,858","50,361"
Madison,"39,246","40,455","40,923"
Maries,"38,856","41,106","40,939"
Marion,"44,923","47,763","48,850"
Mercer,"36,420","39,291","37,419"
Miller,"41,095","43,294","43,393"
Mississippi,"37,847","41,414","42,471"
Moniteau,"44,082","45,290","47,605"
Monroe,"43,752","47,598","47,378"
Montgomery,"45,389","49,352","49,676"
Morgan,"44,679","44,431","47,574"
New Madrid,"42,227","49,560","50,951"
Newton,"42,210","44,900","46,705"
Nodaway,"38,166","39,999","41,353"
Oregon,"40,403","42,847","42,614"
Osage,"49,062","50,763","52,883"
Ozark,"37,372","38,926","39,465"
Pemiscot,"40,447","46,633","46,684"
Perry,"45,763","48,271","49,020"
Pettis,"40,113","43,430","44,298"
Phelps,"42,234","43,902","43,954"
Pike,"39,401","41,025","41,389"
Platte,"60,173","65,615","68,510"
Polk,"39,168","41,427","42,224"
Pulaski,"43,815","44,888","43,627"
Putnam,"39,855","42,307","40,728"
Ralls,"44,531","46,889","47,343"
Randolph,"43,576","47,977","48,170"
Ray,"45,725","47,571","47,520"
Reynolds,"38,223","40,342","40,496"
Ripley,"42,379","45,048","45,501"
St. Charles,"58,150","62,225","64,563"
St. Clair,"34,116","36,989","36,765"
Ste. Genevieve,"44,011","46,786","47,262"
St. Francois,"38,680","41,026","42,028"
St. Louis,"78,750","87,474","93,405"
Saline,"41,564","44,915","46,078"
Schuyler,"37,774","39,709","40,058"
Scotland,"41,358","46,979","47,207"
Scott,"44,870","48,843","50,298"
Shannon,"39,213","40,938","40,142"
Shelby,"43,446","49,063","49,093"
Stoddard,"40,162","46,210","47,705"
Stone,"44,065","46,590","46,958"
Sullivan,"44,544","45,592","42,918"
Taney,"38,930","43,685","44,933"
Texas,"34,497","36,586","36,058"
Vernon,"39,879","42,344","42,852"
Warren,"46,660","49,910","51,472"
Washington,"34,880","37,285","37,597"
Wayne,"39,468","41,702","42,370"
Webster,"37,889","41,029","41,845"
Worth,"41,246","41,890","41,738"
Wright,"36,178","38,509","38,068"
St. Louis City,"50,464","53,965","55,771"
,,,
Montana,"53,546","58,344","60,984"
Beaverhead,"52,324","55,636","60,928"
Big Horn,"35,589","36,109","37,312"
Blaine,"32,615","32,815","36,645"
Broadwater,"47,076","49,643","51,738"
Carbon,"59,163","64,523","68,158"
Carter,"40,860","37,769","41,675"
Cascade,"50,449","54,549","57,020"
Chouteau,"45,373","40,361","54,873"
Custer,"47,934","49,846","52,621"
Daniels,"57,145","54,875","63,950"
Dawson,"46,552","47,756","49,532"
Deer Lodge,"44,085","46,892","47,934"
Fallon,"48,419","49,496","50,398"
Fergus,"45,617","47,976","51,168"
Flathead,"55,522","61,389","63,096"
Gallatin,"64,278","75,990","80,909"
Garfield,"41,756","33,883","43,776"
Glacier,"41,027","40,962","44,512"
Golden Valley,"55,626","51,303","56,055"
Granite,"51,203","55,859","56,476"
Hill,"49,141","50,097","54,495"
Jefferson,"54,262","58,739","60,333"
Judith Basin,"52,433","45,304","53,576"
Lake,"43,419","46,617","47,554"
Lewis and Clark,"53,728","58,278","59,484"
Liberty,"60,901","54,887","73,510"
Lincoln,"41,848","44,670","44,876"
McCone,"44,296","48,025","52,988"
Madison,"64,233","66,830","72,380"
Meagher,"47,986","45,957","49,399"
Mineral,"43,855","45,474","46,543"
Missoula,"57,586","61,813","63,790"
Musselshell,"47,410","48,624","49,454"
Park,"53,475","59,297","63,173"
Petroleum,"37,382","26,529","34,027"
Phillips,"42,234","42,371","44,965"
Pondera,"55,991","53,094","60,715"
Powder River,"40,552","37,015","40,797"
Powell,"50,279","48,000","50,197"
Prairie,"50,445","48,134","52,839"
Ravalli,"52,517","57,933","60,302"
Richland,"58,700","61,094","64,385"
Roosevelt,"39,507","41,762","43,738"
Rosebud,"51,262","52,971","52,824"
Sanders,"40,714","44,417","44,425"
Sheridan,"53,329","52,319","52,985"
Silver Bow,"49,834","54,695","56,562"
Stillwater,"62,117","65,637","68,196"
Sweet Grass,"53,559","56,172","59,382"
Teton,"52,619","51,937","60,197"
Toole,"55,337","50,773","59,651"
Treasure,"54,839","44,079","51,553"
Valley,"49,789","56,153","59,582"
Wheatland,"44,347","43,032","46,650"
Wibaux,"44,334","45,971","46,540"
Yellowstone,"55,689","61,444","63,518"
,,,
Nebraska,"56,733","62,682","64,268"
Adams,"52,791","59,143","59,957"
Antelope,"69,293","76,135","68,854"
Arthur,"53,465","52,002","44,552"
Banner,"64,167","65,537","61,055"
Blaine,"70,770","58,297","54,658"
Boone,"62,646","75,278","63,171"
Box Butte,"52,327","56,881","55,279"
Boyd,"63,420","77,058","78,548"
Brown,"63,885","66,787","63,694"
Buffalo,"61,104","63,090","64,345"
Burt,"50,012","58,751","54,582"
Butler,"52,429","61,699","60,089"
Cass,"57,664","63,038","64,423"
Cedar,"56,280","68,427","62,600"
Chase,"68,280","74,217","72,629"
Cherry,"53,775","57,482","53,966"
Cheyenne,"49,093","49,965","50,654"
Clay,"57,219","67,098","59,478"
Colfax,"49,334","57,045","55,867"
Cuming,"71,571","77,890","75,151"
Custer,"55,842","61,861","58,535"
Dakota,"42,448","49,692","52,218"
Dawes,"44,577","48,428","45,952"
Dawson,"48,274","52,255","52,737"
Deuel,"44,973","46,581","46,682"
Dixon,"49,975","57,392","55,069"
Dodge,"50,938","56,967","59,352"
Douglas,"63,908","69,494","73,848"
Dundy,"84,840","90,133","88,332"
Fillmore,"60,975","70,246","66,187"
Franklin,"60,193","65,997","60,677"
Frontier,"46,967","57,034","53,520"
Furnas,"53,174","62,426","59,793"
Gage,"51,048","60,506","63,862"
Garden,"50,699","54,767","51,563"
Garfield,"51,147","51,279","48,806"
Gosper,"58,003","68,870","65,828"
Grant,"53,831","54,695","48,679"
Greeley,"58,822","69,429","62,337"
Hall,"46,608","53,097","54,001"
Hamilton,"60,059","67,986","66,564"
Harlan,"61,150","66,766","63,131"
Hayes,"85,559","90,000","76,360"
Hitchcock,"48,668","60,120","58,682"
Holt,"58,823","68,581","63,189"
Hooker,"46,681","44,294","43,520"
Howard,"51,656","57,793","56,410"
Jefferson,"50,684","58,782","57,442"
Johnson,"38,302","44,011","42,926"
Kearney,"61,068","72,466","68,461"
Keith,"49,873","54,034","53,846"
Keya Paha,"66,673","59,846","58,537"
Kimball,"51,338","53,129","55,137"
Knox,"52,394","58,946","58,711"
Lancaster,"53,413","59,148","60,354"
Lincoln,"52,995","61,767","64,765"
Logan,"54,793","55,168","52,787"
Loup,"61,589","65,232","63,277"
McPherson,"67,559","59,652","55,976"
Madison,"53,199","60,940","62,467"
Merrick,"52,443","57,699","55,273"
Morrill,"64,596","69,598","69,476"
Nance,"44,010","54,811","47,674"
Nemaha,"49,886","58,656","55,302"
Nuckolls,"57,562","69,251","63,433"
Otoe,"55,792","59,324","57,918"
Pawnee,"51,603","60,006","55,877"
Perkins,"73,168","90,733","86,085"
Phelps,"59,467","66,650","62,347"
Pierce,"58,704","74,110","85,508"
Platte,"50,871","57,063","56,218"
Polk,"56,116","68,331","65,211"
Red Willow,"50,400","55,324","56,193"
Richardson,"53,467","61,220","58,536"
Rock,"74,960","78,263","71,711"
Saline,"46,463","53,826","51,895"
Sarpy,"54,913","59,912","62,030"
Saunders,"57,608","64,918","65,145"
Scotts Bluff,"49,372","52,336","53,341"
Seward,"54,055","59,935","59,292"
Sheridan,"55,990","63,546","70,167"
Sherman,"49,798","60,558","56,306"
Sioux,"66,775","71,425","65,775"
Stanton,"52,888","60,387","58,387"
Thayer,"58,689","69,458","66,329"
Thomas,"60,627","60,478","66,131"
Thurston,"48,520","57,308","56,714"
Valley,"59,236","63,629","60,603"
Washington,"60,651","67,469","69,798"
Wayne,"46,207","52,428","51,794"
Webster,"55,079","58,623","56,696"
Wheeler,"70,785","67,539","56,550"
York,"53,543","61,031","60,623"
,,,
Nevada,"54,650","61,024","62,085"
Churchill,"49,956","55,338","54,206"
Clark,"52,562","58,388","59,150"
Douglas,"85,351","95,082","100,296"
Elko,"50,285","53,482","54,046"
Esmeralda,"47,951","64,078","60,376"
Eureka,"48,559","48,166","49,631"
Humboldt,"50,786","54,126","54,432"
Lander,"68,478","73,534","73,550"
Lincoln,"48,952","51,286","48,569"
Lyon,"43,975","46,646","46,735"
Mineral,"47,126","48,400","47,500"
Nye,"40,145","42,898","43,052"
Pershing,"36,863","41,568","39,865"
Storey,"68,007","77,324","78,007"
Washoe,"65,110","75,348","78,078"
White Pine,"53,517","58,546","57,323"
Carson City,"54,776","59,579","61,026"
,,,
New Hampshire,"67,883","72,214","73,910"
Belknap,"68,625","71,217","73,072"
Carroll,"66,049","70,166","71,081"
Cheshire,"57,496","65,196","62,369"
Coos,"49,251","52,797","52,438"
Grafton,"69,092","74,404","75,236"
Hillsborough,"66,256","69,833","71,761"
Merrimack,"64,297","67,185","68,713"
Rockingham,"81,679","87,347","90,689"
Strafford,"57,102","60,558","62,234"
Sullivan,"59,146","63,657","63,965"
,,,
New Jersey,"70,957","76,079","77,199"
Atlantic,"53,533","57,351","55,918"
Bergen,"88,461","94,654","97,138"
Burlington,"65,369","69,619","70,448"
Camden,"56,814","61,023","60,489"
Cape May,"68,836","73,458","71,590"
Cumberland,"44,000","48,073","46,791"
Essex,"67,857","74,873","75,934"
Gloucester,"58,451","62,338","62,405"
Hudson,"64,653","72,709","72,730"
Hunterdon,"93,251","98,146","102,044"
Mercer,"72,811","77,984","79,354"
Middlesex,"64,841","69,931","70,951"
Monmouth,"86,588","91,247","94,381"
Morris,"100,797","107,660","111,597"
Ocean,"56,954","59,386","59,332"
Passaic,"53,539","57,951","57,067"
Salem,"51,979","55,067","54,250"
Somerset,"103,317","106,848","110,753"
Sussex,"67,079","70,291","71,671"
Union,"70,682","75,285","76,616"
Warren,"59,268","61,960","62,921"
,,,
New Mexico,"46,631","51,141","52,194"
Bernalillo,"50,063","54,551","55,543"
Catron,"37,613","38,929","39,459"
Chaves,"43,088","46,647","47,792"
Cibola,"32,047","33,845","34,184"
Colfax,"44,595","49,012","50,285"
Curry,"48,363","51,328","53,676"
De Baca,"53,849","54,008","56,051"
Doña Ana,"40,871","45,649","45,361"
Eddy,"59,037","64,865","67,457"
Grant,"44,057","48,772","51,917"
Guadalupe,"38,025","43,708","42,757"
Harding,"43,803","44,223","46,185"
Hidalgo,"47,083","50,254","53,110"
Lea,"45,549","47,708","52,825"
Lincoln,"46,078","49,885","50,253"
Los Alamos,"76,281","82,828","86,598"
Luna,"35,778","38,804","37,413"
McKinley,"31,984","35,211","34,910"
Mora,"48,929","50,333","51,788"
Otero,"38,876","41,977","41,853"
Quay,"40,793","44,473","47,211"
Rio Arriba,"39,018","42,707","43,400"
Roosevelt,"43,897","46,503","49,631"
Sandoval,"47,801","51,906","53,144"
San Juan,"39,050","43,031","43,489"
San Miguel,"40,795","44,445","45,444"
Santa Fe,"63,104","72,940","74,751"
Sierra,"44,956","48,941","48,636"
Socorro,"39,083","42,672","43,237"
Taos,"41,204","46,351","46,783"
Torrance,"39,416","42,304","43,215"
Union,"40,425","42,022","43,268"
Valencia,"39,662","43,379","43,977"
,,,
New York,"69,873","75,948","75,407"
Albany,"68,825","73,409","73,125"
Allegany,"41,777","42,166","41,297"
Bronx,"41,240","44,020","40,691"
Broome,"47,398","50,152","48,826"
Cattaraugus,"44,580","46,428","45,575"
Cayuga,"49,227","51,789","51,714"
Chautauqua,"44,634","47,436","46,279"
Chemung,"49,058","51,797","51,630"
Chenango,"47,274","49,953","49,288"
Clinton,"48,550","50,930","51,133"
Columbia,"64,301","68,369","69,187"
Cortland,"46,223","48,307","47,648"
Delaware,"44,929","47,173","45,900"
Dutchess,"63,835","67,260","68,474"
Erie,"55,097","57,900","57,450"
Essex,"51,196","54,768","53,558"
Franklin,"45,263","49,293","49,239"
Fulton,"47,903","50,683","50,202"
Genesee,"48,133","50,043","49,259"
Greene,"53,506","56,454","56,271"
Hamilton,"53,926","55,925","54,185"
Herkimer,"47,905","50,839","49,344"
Jefferson,"50,260","52,354","51,749"
Kings,"55,031","62,001","60,153"
Lewis,"51,199","53,785","53,952"
Livingston,"49,329","50,433","50,267"
Madison,"52,001","55,903","55,924"
Monroe,"57,124","59,883","59,354"
Montgomery,"45,579","47,853","46,909"
Nassau,"91,828","97,155","99,864"
New York,"162,457","193,617","186,848"
Niagara,"50,213","52,103","51,747"
Oneida,"49,571","52,571","51,637"
Onondaga,"57,781","60,952","60,414"
Ontario,"58,637","61,937","61,885"
Orange,"55,350","57,555","58,136"
Orleans,"44,297","46,544","45,392"
Oswego,"45,759","47,944","47,279"
Otsego,"50,514","51,035","49,618"
Putnam,"75,547","78,363","80,309"
Queens,"51,882","56,313","54,261"
Rensselaer,"53,673","56,271","55,976"
Richmond,"59,317","62,959","62,469"
Rockland,"64,228","67,108","67,860"
St. Lawrence,"42,651","45,294","44,328"
Saratoga,"69,305","74,404","74,991"
Schenectady,"53,155","57,088","57,198"
Schoharie,"48,615","50,187","49,517"
Schuyler,"47,331","49,639","48,843"
Seneca,"44,205","46,848","46,607"
Steuben,"51,262","54,359","54,247"
Suffolk,"78,701","82,301","84,201"
Sullivan,"50,941","53,931","54,451"
Tioga,"49,889","51,782","50,825"
Tompkins,"50,472","50,527","51,169"
Ulster,"58,285","61,224","62,270"
Warren,"58,485","61,193","60,743"
Washington,"45,483","48,371","47,673"
Wayne,"51,420","54,281","53,837"
Westchester,"111,340","119,841","124,029"
Wyoming,"45,902","50,025","50,254"
Yates,"45,843","49,106","49,358"
,,,
North Carolina,"51,781","56,705","58,109"
Alamance,"44,223","48,218","48,980"
Alexander,"42,020","46,049","48,035"
Alleghany,"41,553","44,417","44,464"
Anson,"42,032","47,342","50,187"
Ashe,"40,730","44,051","44,433"
Avery,"40,161","44,675","45,653"
Beaufort,"49,644","54,638","54,554"
Bertie,"41,403","48,666","49,409"
Bladen,"43,041","48,614","48,424"
Brunswick,"53,840","57,611","58,281"
Buncombe,"52,847","58,883","61,560"
Burke,"41,095","44,126","44,631"
Cabarrus,"49,313","52,883","54,754"
Caldwell,"40,096","44,196","44,761"
Camden,"52,318","55,169","56,906"
Carteret,"57,425","62,138","63,531"
Caswell,"38,126","41,671","41,155"
Catawba,"48,940","53,670","55,223"
Chatham,"70,275","76,790","79,769"
Cherokee,"36,538","39,646","40,021"
Chowan,"45,733","50,638","51,005"
Clay,"40,588","43,764","43,753"
Cleveland,"40,777","44,548","45,126"
Columbus,"39,746","44,261","44,109"
Craven,"49,475","53,991","54,327"
Cumberland,"42,554","46,001","46,024"
Currituck,"52,882","57,334","59,381"
Dare,"64,544","72,122","76,100"
Davidson,"43,984","48,005","48,523"
Davie,"53,010","58,880","60,579"
Duplin,"44,157","52,536","52,760"
Durham,"53,973","57,849","59,070"
Edgecombe,"40,426","44,090","43,507"
Forsyth,"51,667","56,273","57,781"
Franklin,"41,803","45,785","46,330"
Gaston,"44,808","48,748","49,674"
Gates,"44,611","49,434","49,850"
Graham,"39,293","42,625","41,336"
Granville,"42,701","46,151","46,906"
Greene,"35,078","39,616","38,963"
Guilford,"49,900","54,117","55,008"
Halifax,"40,249","44,549","44,768"
Harnett,"39,664","44,164","44,192"
Haywood,"44,882","49,360","50,894"
Henderson,"48,378","53,379","55,243"
Hertford,"38,993","42,073","41,529"
Hoke,"37,583","41,494","41,181"
Hyde,"45,086","49,971","48,593"
Iredell,"56,778","61,688","64,437"
Jackson,"40,196","44,040","44,870"
Johnston,"44,945","48,440","49,672"
Jones,"42,505","50,285","48,585"
Lee,"44,833","49,392","49,622"
Lenoir,"44,714","49,888","51,039"
Lincoln,"51,873","56,061","58,227"
McDowell,"40,139","43,666","43,983"
Macon,"43,926","47,209","48,309"
Madison,"39,905","43,326","44,497"
Martin,"38,344","43,236","42,553"
Mecklenburg,"68,546","73,908","76,441"
Mitchell,"40,269","43,700","43,990"
Montgomery,"41,954","45,816","46,774"
Moore,"57,370","61,193","62,886"
Nash,"46,612","49,903","50,715"
New Hanover,"54,128","59,914","60,943"
Northampton,"41,835","47,581","47,614"
Onslow,"46,781","51,490","51,585"
Orange,"72,271","75,349","77,568"
Pamlico,"48,844","52,383","52,301"
Pasquotank,"42,956","47,094","47,234"
Pender,"45,161","49,607","49,887"
Perquimans,"46,806","52,814","53,355"
Person,"42,300","45,717","45,304"
Pitt,"48,920","52,716","53,495"
Polk,"54,915","58,680","61,494"
Randolph,"41,641","46,031","46,748"
Richmond,"40,265","44,864","46,009"
Robeson,"37,167","41,618","41,071"
Rockingham,"41,380","45,428","45,332"
Rowan,"41,866","46,221","46,990"
Rutherford,"38,322","42,065","42,525"
Sampson,"40,816","46,657","46,849"
Scotland,"37,902","41,005","41,064"
Stanly,"43,161","47,273","48,212"
Stokes,"41,963","46,442","46,391"
Surry,"43,044","48,060","48,778"
Swain,"44,375","50,318","51,517"
Transylvania,"48,333","53,026","55,406"
Tyrrell,"44,595","47,208","45,079"
Union,"58,390","64,278","67,641"
Vance,"39,534","43,909","43,356"
Wake,"65,717","73,800","76,357"
Warren,"35,114","38,664","37,601"
Washington,"41,670","46,449","45,405"
Watauga,"43,123","46,432","48,445"
Wayne,"44,189","49,132","49,370"
Wilkes,"41,195","45,732","47,495"
Wilson,"44,619","48,558","48,774"
Yadkin,"41,757","46,694","47,455"
Yancey,"39,418","41,798","42,006"
,,,
North Dakota,"61,091","65,895","70,360"
Adams,"60,325","57,266","58,789"
Barnes,"61,302","66,764","75,766"
Benson,"50,026","56,756","68,554"
Billings,"86,835","86,789","83,059"
Bottineau,"69,397","71,537","89,879"
Bowman,"71,448","75,237","75,059"
Burke,"80,242","72,620","102,647"
Burleigh,"62,748","69,512","71,483"
Cass,"61,838","67,112","69,087"
Cavalier,"92,697","89,451","135,571"
Dickey,"67,230","77,706","92,959"
Divide,"63,376","62,480","73,799"
Dunn,"78,373","90,817","91,714"
Eddy,"68,886","73,202","90,322"
Emmons,"64,478","76,109","93,990"
Foster,"73,331","77,624","91,480"
Golden Valley,"51,277","54,925","56,952"
Grand Forks,"54,966","58,847","61,124"
Grant,"56,492","60,309","64,280"
Griggs,"67,896","74,434","93,926"
Hettinger,"63,327","58,291","67,417"
Kidder,"66,804","76,495","83,562"
LaMoure,"67,879","75,618","94,822"
Logan,"60,539","69,006","85,398"
McHenry,"66,980","74,314","78,346"
McIntosh,"70,349","82,395","89,939"
McKenzie,"65,969","73,100","76,046"
McLean,"65,804","78,732","81,193"
Mercer,"62,172","66,610","66,227"
Morton,"56,482","60,396","60,819"
Mountrail,"71,666","73,150","81,073"
Nelson,"68,909","69,892","92,263"
Oliver,"54,142","63,168","62,844"
Pembina,"72,475","79,048","87,939"
Pierce,"56,940","67,932","74,616"
Ramsey,"56,131","60,315","68,308"
Ransom,"58,274","66,596","74,480"
Renville,"80,610","77,149","113,541"
Richland,"52,050","62,435","65,952"
Rolette,"48,882","53,057","56,996"
Sargent,"66,380","82,428","93,105"
Sheridan,"60,193","79,425","99,263"
Sioux,"37,088","37,343","38,785"
Slope,"65,273","68,663","57,137"
Stark,"61,656","63,187","67,057"
Steele,"86,708","85,981","115,546"
Stutsman,"58,227","61,786","67,944"
Towner,"84,431","75,292","119,550"
Traill,"66,012","66,588","75,372"
Walsh,"61,913","66,545","75,957"
Ward,"57,499","59,994","62,577"
Wells,"74,148","81,598","109,412"
Williams,"61,728","64,464","69,096"
,,,
Ohio,"52,879","57,026","57,777"
Adams,"39,936","44,026","43,431"
Allen,"46,952","49,896","50,195"
Ashland,"44,253","47,250","47,118"
Ashtabula,"43,214","46,306","46,316"
Athens,"38,205","42,449","41,866"
Auglaize,"50,590","55,346","55,857"
Belmont,"43,560","46,362","46,658"
Brown,"42,616","46,272","45,846"
Butler,"51,827","55,095","55,897"
Carroll,"44,274","47,550","47,394"
Champaign,"46,026","49,260","48,873"
Clark,"44,342","47,344","47,151"
Clermont,"60,894","61,961","62,495"
Clinton,"47,523","50,106","49,985"
Columbiana,"42,263","45,061","45,189"
Coshocton,"39,403","42,623","42,239"
Crawford,"42,878","47,453","46,572"
Cuyahoga,"57,048","62,296","63,448"
Darke,"47,551","52,191","52,673"
Defiance,"44,267","47,593","47,310"
Delaware,"80,033","85,075","88,871"
Erie,"53,374","56,803","58,855"
Fairfield,"51,542","54,653","55,015"
Fayette,"44,636","47,680","47,012"
Franklin,"54,352","59,391","59,473"
Fulton,"49,978","52,939","52,808"
Gallia,"44,453","45,960","46,079"
Geauga,"72,092","79,771","83,249"
Greene,"55,350","59,860","61,013"
Guernsey,"45,785","48,144","47,686"
Hamilton,"63,022","69,556","71,767"
Hancock,"55,745","56,429","56,761"
Hardin,"37,099","40,431","39,938"
Harrison,"43,042","45,862","46,168"
Henry,"48,966","52,631","52,388"
Highland,"40,852","44,521","44,035"
Hocking,"43,346","45,611","45,472"
Holmes,"49,487","54,188","56,133"
Huron,"45,315","48,045","47,635"
Jackson,"40,191","41,896","41,084"
Jefferson,"43,026","45,775","45,490"
Knox,"48,455","51,120","51,107"
Lake,"55,040","58,839","59,749"
Lawrence,"43,885","46,958","47,449"
Licking,"51,540","55,252","55,665"
Logan,"45,865","48,897","48,607"
Lorain,"50,943","54,687","55,441"
Lucas,"50,236","53,287","53,428"
Madison,"47,773","50,802","52,295"
Mahoning,"47,491","51,229","51,765"
Marion,"40,180","42,753","42,382"
Medina,"60,353","64,011","65,702"
Meigs,"40,609","42,730","42,061"
Mercer,"53,785","59,739","61,832"
Miami,"51,885","55,632","56,078"
Monroe,"41,810","43,391","42,173"
Montgomery,"51,333","54,574","55,114"
Morgan,"40,077","43,383","43,106"
Morrow,"45,594","48,606","47,698"
Muskingum,"46,164","49,176","49,192"
Noble,"30,660","31,971","31,123"
Ottawa,"57,576","61,874","62,480"
Paulding,"45,594","48,561","48,624"
Perry,"43,030","46,322","45,943"
Pickaway,"46,686","50,919","50,895"
Pike,"43,204","45,951","46,346"
Portage,"48,833","53,508","53,419"
Preble,"44,657","48,922","48,644"
Putnam,"54,439","58,913","59,510"
Richland,"42,685","45,205","44,998"
Ross,"41,674","45,276","44,711"
Sandusky,"45,422","48,885","48,557"
Scioto,"43,624","45,959","46,319"
Seneca,"44,460","47,926","47,563"
Shelby,"48,999","52,067","51,955"
Stark,"48,985","53,027","53,588"
Summit,"56,369","61,057","62,207"
Trumbull,"43,161","45,780","45,564"
Tuscarawas,"46,002","50,621","51,879"
Union,"62,252","66,880","69,498"
Van Wert,"45,784","49,958","49,563"
Vinton,"39,276","40,853","40,536"
Warren,"66,255","70,482","73,592"
Washington,"46,708","50,345","51,016"
Wayne,"48,916","53,125","53,174"
Williams,"44,916","48,791","48,999"
Wood,"51,204","55,314","56,011"
Wyandot,"50,170","54,769","55,488"
,,,
Oklahoma,"50,249","55,165","56,298"
Adair,"35,788","40,275","41,664"
Alfalfa,"40,934","45,533","41,918"
Atoka,"34,422","36,277","35,823"
Beaver,"58,018","68,300","65,651"
Beckham,"37,295","39,517","38,722"
Blaine,"44,913","51,333","50,465"
Bryan,"40,728","44,736","44,456"
Caddo,"41,474","45,515","44,315"
Canadian,"48,590","52,397","53,879"
Carter,"46,290","50,134","50,492"
Cherokee,"38,429","41,871","41,730"
