County,2020,2021,2022
Garfield,"57,713","61,395","65,657"
Gilpin,"55,446","62,515","66,285"
Grand,"55,998","64,001","68,066"
Gunnison,"56,132","62,551","65,797"
Hinsdale,"54,192","56,331","61,084"
Huerfano,"44,491","49,647","49,407"
Jackson,"56,988","60,513","63,428"
Jefferson,"68,983","75,899","79,751"
Kiowa,"52,433","68,255","51,779"
Kit Carson,"41,368","52,606","43,807"
Lake,"43,964","48,546","51,963"
La Plata,"61,017","66,115","68,794"
Larimer,"59,762","65,501","67,849"
Las Animas,"42,034","44,585","44,498"
Lincoln,"32,999","37,901","34,678"
Logan,"43,592","49,575","49,736"
Mesa,"48,548","53,194","54,654"
Mineral,"64,799","63,336","67,889"
Moffat,"43,079","46,306","47,523"
Montezuma,"46,985","51,642","50,508"
Montrose,"45,861","50,585","50,848"
Morgan,"47,071","52,067","50,640"
Otero,"39,482","42,181","41,533"
Ouray,"75,140","83,281","88,190"
Park,"54,055","58,026","61,230"
Phillips,"43,704","51,266","48,096"
Pitkin,"172,065","195,299","217,482"
Prowers,"41,074","45,566","45,223"
Pueblo,"43,256","46,883","47,208"
Rio Blanco,"49,649","55,788","56,583"
Rio Grande,"51,083","55,695","54,513"
Routt,"91,880","109,021","119,278"
Saguache,"40,000","43,155","37,247"
San Juan,"54,134","56,911","53,172"
San Miguel,"100,751","125,547","138,635"
Sedgwick,"40,966","51,613","44,053"
Summit,"77,833","86,289","94,423"
Teller,"56,814","62,821","65,399"
Washington,"40,456","47,498","43,100"
Weld,"51,920","56,592","58,860"
Yuma,"40,759","49,825","44,948"
,,,
Connecticut,"77,383","80,691","82,938"
Fairfield,"115,859","119,982","125,185"
Hartford,"66,436","69,487","70,339"
Litchfield,"70,947","76,129","79,947"
Middlesex,"70,759","73,081","74,591"
New Haven,"60,506","63,599","64,829"
New London,"61,119","64,182","64,847"
Tolland,"59,931","60,304","61,498"
Windham,"50,431","53,289","53,504"
,,,
Delaware,"55,778","58,889","63,243"
Kent,"46,052","49,316","51,188"
New Castle,"58,624","60,706","66,397"
Sussex,"56,403","61,815","64,957"
,,,
District of Columbia,"89,703","97,498","95,970"
,,,
Florida,"56,561","63,078","64,806"
Alachua,"47,655","52,040","52,594"
Baker,"39,068","42,067","44,763"
Bay,"50,069","54,638","54,268"
Bradford,"37,466","40,143","41,551"
Brevard,"51,212","55,934","56,817"
Broward,"56,080","63,819","66,009"
Calhoun,"33,095","36,370","36,291"
Charlotte,"48,422","52,777","53,227"
Citrus,"41,602","45,406","45,330"
Clay,"47,815","52,822","53,695"
Collier,"110,993","126,031","131,160"
Columbia,"39,953","43,991","43,192"
DeSoto,"30,593","33,240","32,893"
Dixie,"33,019","35,540","35,138"
Duval,"49,908","55,344","56,168"
Escambia,"47,483","51,995","52,257"
Flagler,"54,916","58,572","60,291"
Franklin,"38,831","44,765","45,581"
Gadsden,"40,828","44,538","44,211"
Gilchrist,"39,778","42,235","42,176"
Glades,"30,798","32,170","31,410"
Gulf,"45,649","50,226","48,554"
