,STNAME,CTYNAME,white_perc,baa_perc,asian_perc,native_perc,pi_perc,his_perc
1388,Minnesota,Stearns,0.8718182101555437,0.1083258003179452,0.02988061469405567,0.009812661700071694,0.0021695084317820516,0.04122689442349054
1389,Minnesota,Steele,0.9448098828814375,0.046392855232900154,0.014225359644900798,0.009679662014011445,0.0013369698914380448,0.08615433980426761
1390,Minnesota,Stevens,0.9479091003424303,0.026668050223098476,0.022828681124831378,0.030299885856594377,0.001245200788627166,0.09287122548510947
1391,Minnesota,Swift,0.9604305484366992,0.025115325474115838,0.014351614556637622,0.015171706817016914,0.0124038954382368,0.06478728856996412
1392,Minnesota,Todd,0.9721591354060616,0.01695512569504268,0.008457984180436995,0.016406923016681025,0.0030934293993264937,0.08430574046518913
1393,Minnesota,Traverse,0.9184732824427481,0.022900763358778626,0.010381679389312977,0.07206106870229008,0.00183206106870229,0.0516030534351145
1394,Minnesota,Wabasha,0.9794994921045341,0.013528488318404286,0.010111737002493305,0.0092806353310555,0.0012466525071567088,0.03361344537815126
1395,Minnesota,Wadena,0.9717620745089817,0.02131823582861536,0.00978541972461033,0.019011672607814358,0.00181729223457049,0.024463549311525827
1396,Minnesota,Waseca,0.9592970941618589,0.03239294976975599,0.012703117556767056,0.012015032022442175,0.0014820303816228233,0.07023765415762452
1397,Minnesota,Washington,0.8570232537910638,0.07132346545275305,0.08766563252051379,0.01244237293049958,0.0017215633970251384,0.049744121314042156
1398,Minnesota,Watonwan,0.9587358916478556,0.017607223476297968,0.01580135440180587,0.01832957110609481,0.0009029345372460496,0.28099322799097065
1399,Minnesota,Wilkin,0.9615748031496063,0.01858267716535433,0.008818897637795276,0.028818897637795274,0.0014173228346456694,0.04094488188976378
1400,Minnesota,Winona,0.9469259064634787,0.027183798860099438,0.03173127450584098,0.009580015360362182,0.0008286511176684588,0.03441933788754598
1401,Minnesota,Wright,0.9502983047640926,0.035897920988088076,0.0248238211387607,0.009587643493712964,0.0010472760687283366,0.03618845563941271
1402,Minnesota,Yellow Medicine,0.9403331224963104,0.019924098671726755,0.013282732447817837,0.04775458570524984,0.0029517183217372973,0.05650432215897112
1403,Mississippi,Adams,0.43350464657842863,0.5596310898338496,0.007603491974091805,0.011158828499014362,0.0010208392002252886,0.06726978315967333
1404,Mississippi,Alcorn,0.8592269909952053,0.13714770202315518,0.008595485908080926,0.009618758039995323,0.0013448719448017775,0.03777335984095427
1405,Mississippi,Amite,0.6025834059751168,0.3944845074887075,0.004200015849116411,0.008083049369997623,0.0008717014026468024,0.016800063396465646
1406,Mississippi,Attala,0.5498886287052374,0.4461134273802045,0.006625164201267919,0.008167228282597522,0.0005711348449368896,0.02398766348734936
1407,Mississippi,Benton,0.6455629139072848,0.3539072847682119,0.00490066225165563,0.00980132450331126,0.0013245033112582781,0.03443708609271523
1408,Mississippi,Bolivar,0.3477017364657814,0.6440926115083419,0.011235955056179775,0.0052093973442288045,0.0011576438542730677,0.02376574736125298
1409,Mississippi,Calhoun,0.7098818558798216,0.29270010171348093,0.0042250215163132775,0.008371801893435568,0.0007824113919098662,0.06885220248806823
1410,Mississippi,Carroll,0.6532730449080258,0.348371184873086,0.004624396259377248,0.0071935052923646076,0.0011304079745144385,0.016750590895077588
1411,Mississippi,Chickasaw,0.5450273614085177,0.4547941946228884,0.007316202712348323,0.008862717106828457,0.0014275517487508922,0.053057339995241495
1412,Mississippi,Choctaw,0.6961552818215753,0.3027248973497574,0.008709717556302102,0.009082991165857908,0.0026129152668906306,0.019907925842976234
