State,County,Latitude,Longitude,AQI
Indiana,Delaware,40.2275,-85.3969,39
Indiana,Dubois,38.3643,-86.8798,32
Indiana,Elkhart,41.5974,-85.8587,38
Indiana,Floyd,38.3188,-85.907,36
Indiana,Greene,39.0363,-86.9621,39
Indiana,Hamilton,40.0725,-86.052,40
Indiana,Hendricks,39.7695,-86.51,37
Indiana,Henry,39.9311,-85.3964,29
Indiana,Howard,40.4836,-86.117,40
Indiana,Knox,38.6891,-87.418,39
Indiana,LaPorte,41.546,-86.74,38
Indiana,Lake,41.4167,-87.3821,43
Indiana,Madison,40.1616,-85.7194,44
Indiana,Marion,39.7817,-86.1385,46
Indiana,Monroe,39.1609,-86.5231,28
Indiana,Perry,38.0796,-86.638,39
Indiana,Porter,41.4603,-87.0672,41
Indiana,Posey,38.0218,-87.8685,34
Indiana,Shelby,39.5237,-85.7917,37
Indiana,Spencer,38.0141,-87.0077,33
Indiana,St. Joseph,41.6167,-86.2899,43
Indiana,Tippecanoe,40.3886,-86.8941,24
Indiana,Vanderburgh,38.0249,-87.5859,44
Indiana,Vigo,39.4306,-87.39,41
Indiana,Wabash,40.8456,-85.794,39
Indiana,Warrick,38.0922,-87.2721,39
Indiana,Whitley,41.1394,-85.5051,32
Iowa,Black Hawk,42.4701,-92.3088,33
Iowa,Bremer,42.7746,-92.3181,37
Iowa,Cerro Gordo,43.0816,-93.2608,17
Iowa,Clinton,41.898,-90.532,42
Iowa,Harrison,41.6829,-95.8168,40
Iowa,Johnson,41.6715,-91.5881,31
Iowa,Lee,40.642,-91.4793,29
Iowa,Linn,42.079,-91.599,42
Iowa,Montgomery,41.0302,-95.1563,38
Iowa,Muscatine,41.4839,-91.1127,31
Iowa,Palo Alto,43.0821,-94.6781,38
Iowa,Polk,41.6854,-93.5734,39
Iowa,Pottawattamie,41.3366,-95.5423,28
Iowa,Scott,41.6371,-90.6232,41
Iowa,Van Buren,40.7532,-91.95,39
Iowa,Woodbury,42.3897,-96.0448,28
Kansas,Ford,37.6917,-99.888,18
Kansas,Johnson,38.8838,-94.8223,40
Kansas,Leavenworth,39.1993,-95.038,38
Kansas,Neosho,37.5585,-95.3068,43
Kansas,Sedgwick,37.6848,-97.461,44
Kansas,Shawnee,39.0415,-95.7565,44
Kansas,Sherman,39.3514,-101.72,15
Kansas,Sumner,37.2373,-97.4765,43
Kansas,Trego,38.9143,-99.8728,38
Kansas,Wyandotte,39.1146,-94.7646,44
Kentucky,Bell,36.7306,-83.6741,44
Kentucky,Boone,38.9699,-84.7278,44
Kentucky,Boyd,38.3596,-82.6878,40
Kentucky,Bullitt,37.9701,-85.6958,43
Kentucky,Campbell,38.9465,-84.3795,39
Kentucky,Carter,38.3182,-83.0495,38
Kentucky,Christian,36.8942,-87.4904,42
Kentucky,Daviess,37.7318,-87.0873,42
Kentucky,Edmonson,37.2088,-86.2384,39
Kentucky,Fayette,38.0423,-84.4587,41
Kentucky,Greenup,38.5457,-82.9223,40
Kentucky,Hancock,37.8415,-86.7779,43
Kentucky,Hardin,37.6979,-85.9634,42
Kentucky,Jessamine,37.8721,-84.5809,41
Kentucky,Livingston,37.2096,-88.3537,42
Kentucky,McCracken,37.054,-88.7128,40
Kentucky,Morgan,37.9223,-83.2589,37
Kentucky,Oldham,38.3994,-85.4483,42
Kentucky,Perry,37.2443,-83.2215,43
Kentucky,Pike,37.4691,-82.3958,38
Kentucky,Pulaski,37.1039,-84.5773,39
Kentucky,Simpson,36.742,-86.5822,41
Kentucky,Trigg,36.8064,-87.8733,39
Kentucky,Warren,36.9936,-86.4238,41
Kentucky,Washington,37.7534,-85.1748,39
Louisiana,Ascension,30.2036,-90.9113,34
Louisiana,Bossier,32.6784,-93.6049,43
Louisiana,Caddo,32.5806,-93.8823,38
Louisiana,Calcasieu,30.2293,-93.3581,44
Louisiana,East Baton Rouge,30.5383,-91.0956,41
Louisiana,Iberville,30.2586,-91.3495,41
Louisiana,Jefferson,29.7872,-90.1274,40
Louisiana,Lafayette,30.2068,-92.0639,40
Louisiana,Lafourche,29.5661,-90.4256,37
Louisiana,Livingston,30.4401,-90.7279,41
Louisiana,Orleans,30.0687,-89.9288,28
Louisiana,Ouachita,32.4784,-92.1549,38
Louisiana,Pointe Coupee,30.7095,-91.6008,34
Louisiana,Rapides,31.1986,-92.5332,30
Louisiana,St. Bernard,29.8692,-89.5552,41
Louisiana,St. James,30.027,-90.7931,33
Louisiana,St. John the Baptist,30.1264,-90.4709,34
Louisiana,St. Martin,30.1291,-91.6083,34
Louisiana,St. Tammany,30.4102,-89.9583,37
